x,y,z
507469.32,5262682.74,90
511900.55,5261826.15,102
511683.81,5260801.35,148
507497.47,5258852.84,373
511378.69,5265797.54,7
512489.21,5262684.31,258
507907.62,5259718.23,260
509292.99,5260714.19,63
506219.34,5261075.84,168
506157.05,5266188.5,285
507648.48,5268254.34,373
510213.31,5262618.19,41
510921.04,5267477.77,271
512473.85,5258606.49,323
505045.28,5264189.46,6
507489.34,5265055.39,222
514360.95,5267122.5,1
507998.48,5267647.66,544
510026.71,5267780.17,605
514074.16,5258379.06,499
507578.38,5263729.47,14
507432.6,5262972.02,40
509020.28,5259351.5,240
507897.61,5262451.16,98
506187.2,5261631.26,136
508413.69,5259040.26,141
507436.8,5261649.35,170
508947.97,5266541.93,311
507444.47,5258487.35,285
511213.22,5260258.36,166
514379.23,5261567.91,346
513716.08,5267629.15,4
511575.51,5261530.86,54
514783.97,5263259.79,495
513448.5,5261454.17,229
506047.62,5259807.3,313
510801.63,5261262.93,96
505911.85,5268192.44,140
513437.36,5264270.39,543
508368.72,5266057.83,268
513897.88,5260672.49,206
509806.2,5266586.85,274
514163.73,5260812.16,219
514985.54,5260510.16,345
510592.94,5268084.91,363
506884.11,5258490.59,187
514245.85,5262470.13,337
511247.18,5263287.66,230
506338.96,5265196.75,123
514358.45,5265690.96,373
510982.39,5260040.83,196
505620.61,5262419.54,62
513184.55,5262577.28,320
506205.36,5261763.21,148
511004.26,5258999.04,307
511590.33,5262770.06,241
514477.74,5267063.95,10
514403.88,5268031.49,0
510519.86,5262574.8,78
511541.78,5258342.23,402
515176.34,5265801.62,228
512864.72,5268118.96,198
506175.91,5266580.81,259
513375.36,5265995.47,45
513366.64,5265498.35,175
508121.54,5260896.1,262
505374.35,5266860.7,108
512412.65,5258940.97,269
510553.62,5262404.34,75
505448.72,5259943.27,213
513403.53,5258317,563
512366.49,5258573.93,298
513069.06,5259792.48,267
511541.53,5264220.8,133
507417.97,5268334.55,298
515138.68,5266633.43,63
505675.22,5267412.46,145
511860.29,5264108.39,169
505277.01,5261936.88,55
509805.46,5259569.62,234
514743.35,5258706.76,262
513583.76,5267261.85,0
506179.29,5261677.73,141
513282.23,5261633.5,178
511787.36,5263231.18,288
505342.21,5261057.62,140
505639.14,5266412.72,178
508627.06,5265008.72,64
512539.11,5263528.83,419
512182.73,5268347.08,96
513065.93,5263773.19,413
505048.37,5260993.63,76
510410.4,5263447.16,81
509506.68,5265425.5,111
513739.38,5264381.98,417
514785.37,5263660.82,635
511477.1,5260814.63,80
511516.77,5265028.98,0
508827.08,5259125.19,173
510838.94,5263326.13,151
508617.75,5267791.1,598
512847.04,5258984.43,377
510379.89,5259346.57,207
511243.51,5261783.93,49
513922.57,5261834.76,342
506382.55,5262852.19,49
509143.16,5261514.23,187
511305.79,5267708.17,260
505959.12,5264987.95,99
508989.94,5267996.9,620
508461.03,5261725.72,124
506587.21,5260060.11,300
508718.27,5264433.92,27
512580.67,5262050.87,253
507587.27,5262009.41,201
513608.3,5261078.98,191
512305.15,5260007.97,173
508769.08,5267502.9,547
508634.23,5259487.87,99
508058.96,5263225.74,0
511117.34,5264587.24,0
509034.05,5259724.41,162
513282.03,5265999.54,87
510436.2,5258407.85,328
509906.6,5265508.27,91
510725.96,5260304.42,117
506461.58,5264378.47,28
511269.74,5260207.78,178
514171.11,5266340.03,86
513807.08,5261863.97,303
507235.63,5260667.52,302
505119.17,5259177.68,120
507402.75,5265989.97,501
515119.18,5264581.98,577
506608.17,5259543.3,327
510086.78,5267044.48,375
507060.7,5267406.04,451
505548.31,5266443.74,164
508483.6,5262294.73,113
508905.04,5259170.66,197
508974.17,5264056.31,12
511875.04,5265637.88,0
508799.08,5264032.2,11
515000.35,5262955,611
514690.15,5262095.16,500
508417,5265000.76,83
505714.76,5260243.08,210
508414.59,5264041.19,16
506647.44,5264202.55,18
512685.07,5260524.07,128
507932.29,5259044.86,352
508342.41,5265495.54,192
508404.21,5260105.33,208
511834.85,5266526.43,19
511127.55,5259981.27,242
505390.56,5266667.47,117
511504.28,5263355.22,247
506941.1,5265808.29,428
506291.67,5262362.32,148
510990.62,5266212.69,66
513181.67,5267587.4,27
512470.62,5259222.64,362
509104.35,5259924.04,112
513810.58,5267896,12
512183.97,5260545.75,159
507354.49,5261915.41,162
505736.8,5265906.29,370
505633.06,5265828.36,367
510378.85,5265868.24,97
509743.83,5261425.48,65
505479.07,5260441.77,237
510605.13,5268083.43,363
507728.12,5266115.54,364
510098.14,5266656.09,316
509183.05,5262107.56,229
509559.45,5259630.78,209
505112.56,5261383.03,82
511650.7,5261722.9,93
512808.16,5260066.97,219
513653.86,5266783.38,0
509247.54,5263537.14,3
508603.99,5262001.17,129
511453.16,5262114.52,166
510516.21,5260076.68,167
511258.66,5264798.48,0
512000.93,5259249.94,209
507878.31,5266099.44,314
510853.6,5265384.15,32
514341.79,5262546.55,348
513637.38,5266539.01,16
508191.4,5259819.77,208
513734.15,5258807.68,556
505310.82,5265390.03,166
505489.55,5258867.47,183
512792.6,5262778.28,322
512556.17,5266043.91,28
511166.24,5262832.93,137
514613.31,5260337.34,244
511413.28,5265213,1
508346.38,5268168.03,530
505687.33,5267403.36,152
509099.83,5266219.06,279
511517.14,5262346.21,214
512647.47,5259086.81,384
511874.2,5263183.46,283
511578.14,5263479.01,263
512044.69,5258651.92,258
514396.98,5262532.44,367
511905.83,5259281.78,194
510780.35,5263327.61,146
507155.52,5263634.89,0
507067.32,5260435.64,281
509220.29,5263888.06,0
513650.9,5267308.05,0
508150.76,5258761.44,285
505458.94,5259942.6,213
505490.51,5260385.32,196
514367.09,5264975.9,352
505295.74,5261652.72,69
510607.89,5264830.72,17
511943.5,5264200.21,222
514153.87,5259987.82,147
510710.76,5266729.9,161
509004.12,5261346.42,209
506408.49,5266796.45,347
509021.92,5262055.79,183
507065.6,5266118.33,476
506048.76,5263451.23,21
512049.37,5261996,187
513224.32,5266988.98,0
513379.78,5265808.02,99
514753.82,5262550.7,470
512623.3,5263049.58,320
508183.05,5262602.8,80
513305.69,5261573.61,204
508704.24,5266227.95,270
511418.66,5261821.06,93
511786.4,5262612.59,184
510086.34,5261259.34,102
515138.84,5268023.63,0
512206.97,5261882.23,180
510527.83,5261056.58,102
514680.11,5264476.63,530
514688.23,5264178.8,622
514556.71,5267401.44,0
513139.72,5264155.05,509
505541.09,5261812.7,77
511804.1,5258875.22,234
509313.26,5267123.67,288
507538.1,5264933.99,196
514302.67,5265354.46,327
512948.39,5263127.15,374
505976.78,5261854.16,133
514733.59,5258954.26,177
515062.19,5262002.67,585
510802.87,5267764,335
511849.52,5267908.7,279
514059.54,5266857.32,2
512093.85,5268187.82,144
505673.66,5264495.05,0
512178.95,5268217.7,118
507388.81,5261973.17,164
509752.81,5264053,16
506423.63,5260422.8,261
514846.34,5263893.04,656
512546.93,5264462.06,225
507730.72,5266022.71,349
507393.82,5264077.58,48
512585.98,5263696.4,434
506537.78,5261117.76,251
505521.25,5262188.75,73
515255.96,5263528.99,694
510653.63,5267083.14,269
505910.49,5264362.27,18
511956.7,5261105.02,70
512689.3,5260576.18,129
506797.48,5266808.57,336
513647.31,5264978.75,201
508117.78,5267314.89,543
510810.35,5260107.62,133
505738.6,5265727.38,371
507994.2,5260690.9,338
510720.6,5260607.34,159
510603.44,5259582.56,151
505119.98,5258724.44,193
507377.24,5259911.17,337
513757.07,5265276.95,198
514445.81,5262570.53,371
505966.79,5260016.97,331
508853.92,5263801.39,0
505069.9,5258386.74,234
